date, pm25
2021/1/24, 22
2021/1/25, 18
2021/1/26, 29
2021/1/27, 35
2021/1/28, 27
2021/1/29, 26
2021/1/30, 30
2021/1/31, 20
2021/2/1, 25
2021/2/2, 35
2021/2/3, 29
2021/2/4, 19
2021/2/5, 19
2021/2/6, 26
2021/2/7, 41
2021/2/8, 30
2021/2/9, 28
2021/2/10, 25
2021/2/11, 35
2021/2/12, 25
2021/2/13, 38
2021/2/14, 55
2021/2/15, 50
2021/2/16, 54
2021/2/17, 45
2021/2/18, 32
2021/2/19, 37
2021/2/20, 31
2021/2/21, 19
2021/2/22, 24
2021/2/23, 24
2021/2/24, 25
2021/2/25, 30
2021/2/26, 27
2021/2/27, 22
2021/2/28, 9
2021/3/4, 30
2021/3/5, 33
2021/3/6, 27
2021/3/7, 26
2021/3/8, 21
2021/3/9, 40
2021/3/10, 24
2021/3/11, 25
2021/3/12, 22
2021/3/13, 21
2021/3/14, 24
2021/3/15, 21
2021/3/16, 27
2021/3/17, 32
2021/3/18, 42
2021/3/19, 59
2021/3/20, 35
2021/3/21, 16
2021/3/22, 20
2021/3/23, 28
2021/3/24, 33
2021/3/25, 40
2021/3/26, 38
2021/3/27, 27
2021/3/28, 21
2021/3/29, 21
2021/3/30, 16
2021/3/31, 10
2021/4/1, 15
2020/10/2, 39
2020/10/3, 37
2020/10/4, 23
2020/10/5, 26
2020/10/6, 31
2020/10/7, 39
2020/10/8, 40
2020/10/9, 37
2020/10/10, 33
2020/10/11, 31
2020/10/12, 22
2020/10/13, 30
2020/10/14, 31
2020/10/15, 39
2020/10/16, 38
2020/10/17, 37
2020/10/18, 29
2020/10/19, 27
2020/10/20, 44
2020/10/21, 36
2020/10/22, 36
2020/10/23, 41
2020/10/24, 41
2020/10/25, 39
2020/10/26, 22
2020/10/27, 45
2020/10/28, 49
2020/10/29, 44
2020/10/30, 56
2020/10/31, 41
2020/11/1, 33
2020/11/2, 22
2020/11/3, 29
2020/11/4, 24
2020/11/5, 15
2020/11/6, 17
2020/11/7, 22
2020/11/8, 19
2020/11/9, 19
2020/11/10, 30
2020/11/11, 30
2020/11/12, 49
2020/11/13, 44
2020/11/14, 41
2020/11/15, 44
2020/11/16, 37
2020/11/17, 43
2020/11/18, 51
2020/11/19, 71
2020/11/20, 41
2020/11/21, 32
2020/11/22, 31
2020/11/23, 31
2020/11/24, 40
2020/11/25, 20
2020/11/26, 32
2020/11/27, 37
2020/11/28, 31
2020/11/29, 24
2020/11/30, 21
2020/12/1, 23
2020/12/2, 25
2020/12/3, 37
2020/12/4, 30
2020/12/5, 32
2020/12/6, 29
2020/12/7, 17
2020/12/8, 17
2020/12/9, 27
2020/12/10, 17
2020/12/11, 10
2020/12/12, 26
2020/12/13, 26
2020/12/14, 28
2020/12/15, 30
2020/12/16, 28
2020/12/17, 39
2020/12/18, 29
2020/12/19, 19
2020/12/20, 18
2020/12/21, 20
2020/12/22, 22
2020/12/23, 22
2020/12/24, 24
2020/12/25, 28
2020/12/26, 17
2020/12/27, 12
2020/12/28, 11
2020/12/29, 19
2020/12/30, 18
2020/12/31, 24
2021/1/1, 38
2021/1/2, 22
2021/1/3, 16
2021/1/4, 23
2020/7/2, 52
2020/7/3, 49
2020/7/4, 44
2020/7/5, 23
2020/7/9, 31
2020/7/10, 33
2020/7/11, 37
2020/7/12, 43
2020/7/13, 36
2020/7/14, 29
2020/7/15, 33
2020/7/16, 32
2020/7/17, 73
2020/7/18, 56
2020/7/19, 51
2020/7/20, 40
2020/7/21, 30
2020/7/22, 36
2020/7/23, 37
2020/7/24, 34
2020/7/25, 37
2020/7/26, 32
2020/7/27, 30
2020/7/28, 26
2020/7/29, 45
2020/7/30, 20
2020/7/31, 48
2020/8/1, 67
2020/8/2, 61
2020/8/3, 48
2020/8/4, 42
2020/8/5, 40
2020/8/6, 34
2020/8/7, 36
2020/8/8, 33
2020/8/9, 31
2020/8/10, 24
2020/8/11, 35
2020/8/12, 23
2020/8/13, 34
2020/8/14, 32
2020/8/15, 32
2020/8/16, 30
2020/8/17, 29
2020/8/18, 32
2020/8/19, 33
2020/8/20, 28
2020/8/21, 30
2020/8/22, 26
2020/8/23, 34
2020/8/24, 34
2020/8/25, 35
2020/8/26, 53
2020/8/27, 29
2020/8/28, 38
2020/8/29, 34
2020/8/30, 39
2020/8/31, 41
2020/9/1, 52
2020/9/2, 61
2020/9/3, 54
2020/9/4, 51
2020/9/5, 44
2020/9/6, 41
2020/9/7, 34
2020/9/8, 39
2020/9/9, 37
2020/9/10, 40
2020/9/11, 33
2020/9/12, 38
2020/9/13, 44
2020/9/14, 36
2020/9/15, 24
2020/9/16, 36
2020/9/17, 38
2020/9/18, 37
2020/9/19, 35
2020/9/20, 43
2020/9/21, 31
2020/9/22, 30
2020/9/23, 34
2020/9/24, 39
2020/9/25, 42
2020/9/26, 45
2020/9/27, 30
2020/9/28, 31
2020/9/29, 34
2020/9/30, 33
2020/10/1, 41
2020/4/2, 55
2020/4/3, 50
2020/4/4, 44
2020/4/5, 37
2020/4/6, 35
2020/4/7, 45
2020/4/8, 42
2020/4/9, 47
2020/4/10, 36
2020/4/11, 37
2020/4/12, 47
2020/4/13, 43
2020/4/14, 53
2020/4/15, 44
2020/4/16, 30
2020/4/17, 35
2020/4/18, 40
2020/4/19, 31
2020/4/20, 38
2020/4/21, 61
2020/4/22, 73
2020/4/23, 66
2020/4/24, 57
2020/4/25, 54
2020/4/26, 51
2020/4/27, 35
2020/4/28, 30
2020/4/29, 23
2020/4/30, 35
2020/5/1, 30
2020/5/2, 32
2020/5/3, 40
2020/5/4, 41
2020/5/5, 32
2020/5/6, 37
2020/5/7, 48
2020/5/8, 32
2020/5/9, 46
2020/5/10, 45
2020/5/11, 37
2020/5/12, 52
2020/5/13, 50
2020/5/14, 46
2020/5/15, 66
2020/5/16, 50
2020/5/17, 47
2020/5/18, 45
2020/5/19, 51
2020/5/20, 44
2020/5/21, 31
2020/5/22, 42
2020/5/23, 44
2020/5/24, 42
2020/5/25, 50
2020/5/26, 57
2020/5/27, 45
2020/5/28, 45
2020/5/29, 39
2020/5/30, 30
2020/5/31, 18
2020/6/1, 16
2020/6/2, 37
2020/6/3, 44
2020/6/4, 49
2020/6/5, 35
2020/6/6, 46
2020/6/7, 43
2020/6/8, 31
2020/6/9, 37
2020/6/10, 43
2020/6/11, 48
2020/6/12, 36
2020/6/13, 29
2020/6/14, 45
2020/6/16, 40
2020/6/17, 39
2020/6/18, 36
2020/6/19, 22
2020/6/20, 39
2020/6/21, 48
2020/6/22, 24
2020/6/23, 28
2020/6/24, 51
2020/6/25, 46
2020/6/26, 115
2020/6/27, 80
2020/6/28, 51
2020/6/29, 20
2020/6/30, 44
2020/7/1, 43
2020/1/2, 26
2020/1/3, 34
2020/1/4, 29
2020/1/5, 31
2020/1/6, 19
2020/1/7, 20
2020/1/8, 29
2020/1/9, 15
2020/1/10, 21
2020/1/11, 27
2020/1/12, 41
2020/1/13, 26
2020/1/14, 24
2020/1/15, 21
2020/1/16, 27
2020/1/17, 28
2020/1/18, 29
2020/1/19, 19
2020/1/20, 15
2020/1/21, 25
2020/1/22, 25
2020/1/23, 24
2020/1/24, 32
2020/1/25, 32
2020/1/26, 24
2020/1/27, 27
2020/1/28, 55
2020/1/29, 46
2020/1/30, 63
2020/1/31, 39
2020/2/1, 41
2020/2/2, 37
2020/2/3, 21
2020/2/4, 33
2020/2/5, 41
2020/2/6, 61
2020/2/7, 66
2020/2/8, 71
2020/2/9, 54
2020/2/10, 55
2020/2/11, 37
2020/2/12, 40
2020/2/13, 34
2020/2/14, 36
2020/2/15, 38
2020/2/16, 25
2020/2/17, 12
2020/2/18, 22
2020/2/19, 31
2020/2/20, 28
2020/2/21, 18
2020/2/22, 17
2020/2/23, 32
2020/2/24, 27
2020/2/25, 40
2020/2/26, 52
2020/2/27, 49
2020/2/28, 47
2020/2/29, 33
2020/3/1, 16
2020/3/2, 20
2020/3/3, 30
2020/3/4, 31
2020/3/5, 44
2020/3/6, 45
2020/3/7, 48
2020/3/8, 35
2020/3/9, 26
2020/3/10, 34
2020/3/11, 28
2020/3/12, 29
2020/3/13, 25
2020/3/14, 23
2020/3/15, 20
2020/3/16, 14
2020/3/17, 20
2020/3/18, 27
2020/3/19, 27
2020/3/20, 25
2020/3/21, 32
2020/3/24, 18
2020/3/25, 24
2020/3/26, 26
2020/3/27, 31
2020/3/28, 28
2020/3/29, 24
2020/3/30, 19
2020/3/31, 34
2020/4/1, 39
2019/12/5, 31
2019/12/6, 24
2019/12/7, 33
2019/12/8, 31
2019/12/9, 16
2019/12/10, 22
2019/12/11, 29
2019/12/12, 29
2019/12/13, 23
2019/12/14, 33
2019/12/15, 42
2019/12/16, 26
2019/12/17, 29
2019/12/18, 42
2019/12/19, 34
2019/12/20, 39
2019/12/21, 32
2019/12/22, 20
2019/12/23, 30
2019/12/24, 27
2019/12/25, 27
2019/12/26, 14
2019/12/27, 21
2019/12/28, 21
2019/12/29, 25
2019/12/30, 31
